AnimalID;Name;Day;Month;Year;Hour;Minute;Second;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;AgeuponOutcome;Breed;Color;Color2;
A702655;Mica;11;8;2015;0;0;0;Transfer;Partner;Cat;Neutered Male;4 months;Domestic Shorthair Mix;Black;White;
A713392;Basil;5;11;2015;0;0;0;Transfer;Partner;Dog;Intact Male;3 months;Chihuahua Shorthair Mix;Black;White;
A710071;Herb;1;9;2015;0;0;0;Transfer;Partner;Cat;Neutered Male;2 months;Domestic Shorthair Mix;White;Black;
A716575;Scarlet;22;12;2015;0;0;0;Transfer;Partner;Dog;Spayed Female;2 years;Australian Cattle Dog Mix;Tan;White;
A683666;;1;9;2015;0;0;0;Transfer;Partner;Cat;Neutered Male;1 year;Domestic Shorthair Mix;White;Cream Tabby;
A709067;Earlene;5;8;2015;0;0;0;Return_to_owner;;Dog;Intact Female;5 months;Boxer Mix;Black;White;
A720190;Little Missy;7;2;2016;0;0;0;Transfer;Partner;Dog;Spayed Female;7 years;Airedale Terrier Mix;Tricolor;;
A714820;Lizzie;5;11;2015;0;0;0;Transfer;Partner;Dog;Spayed Female;6 months;Plott Hound Mix;Brown Brindle;;
A716488;;23;11;2015;0;0;0;Transfer;Partner;Dog;Neutered Male;2 years;Pit Bull Mix;Red;;
A716400;Calliope;24;11;2015;0;0;0;Transfer;Partner;Dog;Intact Female;1 year;Yorkshire Terrier Mix;Black;Tan;
A684050;;28;7;2014;9;0;0;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Tortie;;
A705258;;16;6;2015;9;0;0;Transfer;SCRP;Cat;Unknown;2 months;Domestic Shorthair Mix;Brown Tabby;White;
A713690;;12;10;2015;9;0;0;Transfer;SCRP;Cat;Intact Male;2 years;Domestic Shorthair Mix;Blue Tabby;;
A690658;;24;10;2014;9;0;0;Transfer;SCRP;Cat;Intact Male;3 years;Domestic Shorthair Mix;Black;White;
A686520;;24;8;2014;9;0;0;Transfer;SCRP;Cat;Intact Male;3 months;Domestic Shorthair Mix;Brown Tabby;;
A681481;;18;6;2014;9;0;0;Transfer;SCRP;Cat;Intact Female;2 years;Domestic Shorthair Mix;Blue;White;
A714177;;20;10;2015;9;0;0;Transfer;SCRP;Cat;Unknown;3 months;Domestic Shorthair Mix;Tortie;;
A688067;;15;9;2014;9;0;0;Transfer;SCRP;Cat;Intact Female;5 months;Domestic Shorthair Mix;Torbie;;
A690519;;23;10;2014;9;0;0;Transfer;SCRP;Cat;Intact Male;4 months;Domestic Shorthair Mix;Blue Tabby;;
A698940;;21;3;2015;9;0;0;Transfer;SCRP;Cat;Intact Male;2 years;Domestic Shorthair Mix;Brown Tabby;White;
A684709;;28;7;2014;9;0;0;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Brown Tabby;White;
A713337;;6;10;2015;9;0;0;Transfer;SCRP;Cat;Intact Female;3 years;Domestic Shorthair Mix;Blue;;
A715761;;10;11;2015;9;0;0;Transfer;SCRP;Cat;Spayed Female;5 years;Domestic Shorthair Mix;Calico;;
A693594;;12;12;2014;9;0;0;Transfer;SCRP;Cat;Intact Male;6 months;Domestic Shorthair Mix;Black;White;
A681414;;18;6;2014;9;0;0;Transfer;SCRP;Cat;Intact Female;2 years;Domestic Shorthair Mix;Tortie;;
A695428;;16;1;2015;9;0;0;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Black;White;
A690333;;20;10;2014;9;0;0;Transfer;SCRP;Cat;Unknown;8 months;Domestic Shorthair Mix;Black;;
A709224;;7;8;2015;9;0;0;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Calico;;
A688584;Preston;25;11;2015;15;0;0;Return_to_owner;;Dog;Neutered Male;1 year;Great Pyrenees Mix;White;Cream;
A688544;Emma;24;9;2014;15;0;0;Transfer;Partner;Cat;Intact Female;1 month;Domestic Shorthair Mix;Brown Tabby;White;
A667520;;23;11;2013;16;0;0;Transfer;Partner;Dog;Neutered Male;4 years;Shih Tzu/Miniature Poodle;Apricot;White;
A676146;Desmo;14;4;2014;17;0;0;Return_to_owner;;Dog;Neutered Male;5 years;Dachshund Mix;Black;;
A677594;;26;4;2014;18;0;0;Transfer;Partner;Dog;Intact Female;3 months;Labrador Retriever Mix;Black;White;
A711562;Bino;8;9;2015;18;0;0;Euthanasia;Suffering;Dog;Intact Male;1 year;Dachshund/Chihuahua Shorthair;Black;;
A714972;Dennis;29;11;2015;19;0;0;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Blue Tabby;;
A667942;Shadow;1;12;2013;19;0;0;Adoption;;Dog;Spayed Female;8 months;Labrador Retriever Mix;Black;;
A703630;Sheldon;30;6;2015;7;1;0;Adoption;Foster;Dog;Neutered Male;4 years;German Shepherd Mix;Brown;;
A686319;Jack;14;6;2015;12;1;0;Adoption;;Dog;Neutered Male;5 years;Plott Hound/Rhod Ridgeback;Brown Brindle;;
A715348;Cymbale;21;11;2015;13;1;0;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Cream Tabby;White;
A699723;Delgado;11;4;2015;16;1;0;Transfer;Partner;Dog;Neutered Male;3 years;Chihuahua Shorthair Mix;Brown;;
A682532;;3;7;2014;17;1;0;Adoption;;Cat;Spayed Female;2 months;Domestic Shorthair Mix;Torbie;;
A663555;Amelia;16;10;2013;17;1;0;Adoption;;Cat;Spayed Female;3 months;Domestic Shorthair Mix;Calico;;
A686377;;25;8;2014;17;1;0;Adoption;;Dog;Neutered Male;2 months;Dachshund Wirehair Mix;Brown;Black;
A699816;Pebbles;11;4;2015;18;1;0;Adoption;;Dog;Spayed Female;10 years;Chihuahua Shorthair Mix;Tan;;
A715812;;15;11;2015;18;1;0;Adoption;;Dog;Spayed Female;10 months;Chihuahua Shorthair Mix;Tan;White;
A719517;;26;1;2016;19;1;0;Transfer;SCRP;Cat;Neutered Male;2 years;Domestic Shorthair Mix;Brown Tabby;;
A668362;Minnie;20;12;2013;12;2;0;Return_to_owner;;Dog;Spayed Female;2 years;Chihuahua Shorthair Mix;Black;Tan;
A712979;;4;10;2015;15;2;0;Transfer;Partner;Cat;Intact Male;1 weeks;Domestic Shorthair Mix;Black;;
A676209;Boomer;24;7;2014;15;2;0;Adoption;Foster;Dog;Neutered Male;3 months;Labrador Retriever Mix;Yellow;;
A703244;;26;5;2015;16;2;0;Transfer;Partner;Cat;Intact Male;2 months;Domestic Shorthair Mix;Brown Tabby;White;
A677157;Sadie;22;4;2014;16;2;0;Return_to_owner;;Dog;Intact Female;12 years;Labrador Retriever Mix;Yellow;;
A701489;;30;4;2015;17;2;0;Transfer;Partner;Cat;Unknown;3 weeks;Domestic Shorthair Mix;Brown Tabby;;
A715346;Molina;9;11;2015;17;2;0;Adoption;;Dog;Spayed Female;10 months;Anatol Shepherd/Great Pyrenees;White;;
A707781;Pearl;15;1;2016;14;3;0;Adoption;;Dog;Spayed Female;1 year;Chihuahua Shorthair/Jack Russell Terrier;Black;White;
A670658;Anders;19;1;2014;15;3;0;Transfer;Partner;Dog;Intact Male;2 months;Queensland Heeler Mix;Black;White;
A669534;;24;12;2013;15;3;0;Transfer;SCRP;Cat;Intact Female;1 year;Domestic Shorthair Mix;Orange Tabby;;
A674530;Jackson;11;9;2014;17;3;0;Adoption;;Dog;Neutered Male;5 years;Pit Bull;Black;;
A658728;Tori;9;11;2013;17;3;0;Adoption;;Cat;Spayed Female;4 months;Domestic Medium Hair Mix;Tortie;White;
A702756;;17;5;2015;19;3;0;Euthanasia;Suffering;Cat;Intact Male;3 weeks;Domestic Shorthair Mix;White;Brown Tabby;
A701029;Bode;1;5;2015;11;4;0;Return_to_owner;;Dog;Neutered Male;2 years;Chesa Bay Retr;Brown;;
A677334;Elsa;25;4;2014;13;4;0;Transfer;Partner;Dog;Intact Female;1 month;Cairn Terrier/Chihuahua Shorthair;Black;Tan;
A650694;Riku;18;12;2013;14;4;0;Return_to_owner;;Dog;Neutered Male;1 year;Blue Lacy/Pit Bull;Blue;White;
A668388;Lucy;9;12;2013;15;4;0;Transfer;Partner;Cat;Intact Female;2 months;Domestic Shorthair Mix;Brown Tabby;;
A707531;;14;7;2015;15;4;0;Transfer;Partner;Cat;Intact Male;2 weeks;Domestic Shorthair Mix;Black;;
A671889;Jezebel;27;2;2014;16;4;0;Return_to_owner;;Dog;Spayed Female;5 years;Chihuahua Shorthair Mix;Tan;;
A674448;Hedwig;18;3;2014;17;4;0;Adoption;;Dog;Neutered Male;10 months;Siberian Husky Mix;White;Cream;
A680336;Buddy;12;7;2014;20;4;0;Adoption;Foster;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Orange Tabby;White;
A719113;Dexter;28;1;2016;12;5;0;Transfer;Partner;Dog;Neutered Male;5 years;Boxer Mix;Brown Brindle;White;
A597644;Lola;16;9;2014;14;5;0;Return_to_owner;;Dog;Spayed Female;4 years;Black Mouth Cur Mix;Tan;Black;
A677885;Lil' Mama;12;5;2014;14;5;0;Return_to_owner;;Dog;Intact Female;2 years;Pit Bull Mix;Fawn;;
