AnimalID;Name;Day;month;Year;Hour;Minute;Second;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;Sex;AgeuponOutcome;Breed;Color;Color2
A666600;;4;11;2013;14;54;0;Transfer;Partner;Dog;Intact;Male;0 years;Beagle/Chihuahua Shorthair;White;
A666601;;4;11;2013;14;55;0;Transfer;Partner;Dog;Intact;Male;0 years;Beagle/Chihuahua Shorthair;White;
A666602;;4;11;2013;14;55;0;Transfer;Partner;Dog;Intact;Female;0 years;Beagle/Chihuahua Shorthair;White;
A666603;;4;11;2013;14;57;0;Transfer;Partner;Dog;Intact;Female;0 years;Beagle/Chihuahua Shorthair;White;
A666605;;4;11;2013;14;59;0;Transfer;Partner;Dog;Intact;Female;0 years;Beagle/Chihuahua Shorthair;White;
A666607;;4;11;2013;15;1;0;Transfer;Partner;Dog;Intact;Female;0 years;Beagle/Chihuahua Shorthair;White;
A676305;;7;4;2014;18;59;0;Transfer;Partner;Cat;Intact;Male;0 years;Domestic Shorthair Mix;White;Black
A676306;;7;4;2014;18;59;0;Transfer;Partner;Cat;Intact;Female;0 years;Domestic Shorthair Mix;White;Blue
A677462;;25;4;2014;15;17;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Blue;
A677465;;25;4;2014;15;18;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Brown Tabby;
A677783;;29;4;2014;12;35;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Black;
A678820;;13;5;2014;13;20;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Blue Tabby;
A678821;;13;5;2014;13;20;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Black;
A678822;;13;5;2014;13;20;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Cream Tabby;
A686911;;28;8;2014;18;20;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Blue;
A699014;;21;3;2015;11;17;0;Euthanasia;Suffering;Cat;Unknown;;0 years;Domestic Shorthair Mix;Brown Tabby;
A701723;;3;5;2015;17;28;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Tortie;
A702176;;10;5;2015;18;36;0;Died;In Kennel;Cat;Intact;Female;0 years;Domestic Longhair Mix;White;Brown Tabby
A703214;;21;5;2015;18;24;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Brown Tabby;
A707429;;13;7;2015;9;26;0;Euthanasia;Suffering;Dog;Unknown;;0 years;Rottweiler Mix;Black;Brown
A710047;;16;8;2015;14;15;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Pink;
A710575;;24;8;2015;18;56;0;Transfer;Partner;Cat;Unknown;;0 years;Domestic Shorthair Mix;Orange Tabby;White
A664285;;2;10;2013;11;3;0;Died;In Foster;Cat;Intact;Male;1 day;Domestic Shorthair Mix;Black;
A674667;;17;3;2014;13;33;0;Return_to_owner;;Dog;Intact;Male;1 day;Pit Bull Mix;White;Brown
A674668;;17;3;2014;13;34;0;Return_to_owner;;Dog;Intact;Male;1 day;Pit Bull Mix;White;Brown Brindle
A674670;;17;3;2014;13;34;0;Return_to_owner;;Dog;Intact;Female;1 day;Pit Bull Mix;White;Brown
A674671;;17;3;2014;13;35;0;Return_to_owner;;Dog;Intact;Male;1 day;Pit Bull Mix;White;Black
A674672;;17;3;2014;13;35;0;Return_to_owner;;Dog;Intact;Female;1 day;Pit Bull Mix;Brown Brindle;White
A674673;;17;3;2014;13;36;0;Return_to_owner;;Dog;Intact;Male;1 day;Pit Bull Mix;White;Brown Brindle
A674941;;20;3;2014;16;22;0;Transfer;Partner;Cat;Intact;Female;1 day;Domestic Shorthair Mix;Brown Tabby;
A674942;;20;3;2014;16;22;0;Transfer;Partner;Cat;Intact;Female;1 day;Domestic Shorthair Mix;Calico;
A674943;;20;3;2014;16;22;0;Transfer;Partner;Cat;Intact;Female;1 day;Domestic Shorthair Mix;Torbie;
A675465;;29;3;2014;15;32;0;Transfer;Partner;Cat;Intact;Female;1 day;Domestic Shorthair Mix;White;
A675466;;29;3;2014;15;33;0;Transfer;Partner;Cat;Intact;Male;1 day;Domestic Shorthair Mix;White;
A675867;;1;4;2014;18;47;0;Transfer;Partner;Cat;Intact;Male;1 day;Domestic Shorthair Mix;Orange;
A675869;;1;4;2014;18;47;0;Transfer;Partner;Cat;Intact;Female;1 day;Domestic Shorthair Mix;Blue Cream;
A675870;;1;4;2014;18;47;0;Transfer;Partner;Cat;Intact;Male;1 day;Domestic Shorthair Mix;Gray Tabby;
A678771;;12;5;2014;18;21;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Orange;
A678773;;12;5;2014;18;21;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Torbie;
A678840;;13;5;2014;14;53;0;Transfer;Partner;Cat;Intact;Female;1 day;Domestic Shorthair Mix;Torbie;
A678841;;13;5;2014;14;53;0;Transfer;Partner;Cat;Intact;Male;1 day;Domestic Shorthair Mix;White;
A680510;;3;6;2014;17;35;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;White
A680511;;3;6;2014;17;35;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;White
A680512;;3;6;2014;17;35;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;White
A680782;;7;6;2014;18;37;0;Transfer;Partner;Cat;Intact;Female;1 day;Domestic Shorthair Mix;Brown Tabby;
A680783;;7;6;2014;18;37;0;Transfer;Partner;Cat;Intact;Male;1 day;Domestic Shorthair Mix;Brown Tabby;
A681376;;15;6;2014;17;55;0;Transfer;Partner;Cat;Intact;Male;1 day;Domestic Shorthair Mix;Black;
A682481;;28;6;2014;13;34;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;
A686907;;28;8;2014;18;34;0;Transfer;Partner;Cat;Intact;Male;1 day;Domestic Shorthair Mix;Blue Tabby;
A688511;;20;9;2014;15;31;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Calico;
A689236;;2;10;2014;14;36;0;Transfer;Partner;Dog;Unknown;;1 day;Labrador Retriever Mix;Black;White
A689238;;2;10;2014;14;36;0;Transfer;Partner;Dog;Unknown;;1 day;Labrador Retriever Mix;Sable;Brown
A689239;;2;10;2014;14;36;0;Transfer;Partner;Dog;Unknown;;1 day;Labrador Retriever Mix;Sable;
A698640;;15;3;2015;13;40;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Cream Tabby;
A698806;;18;3;2015;14;6;0;Transfer;Partner;Cat;Intact;Male;1 day;Domestic Shorthair Mix;Black;
A698821;;18;3;2015;15;43;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;
A698822;;18;3;2015;15;43;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;
A700060;;7;4;2015;13;45;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;
A700069;;7;4;2015;13;45;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;
A700340;;12;4;2015;13;41;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Brown Tabby;
A700341;;12;4;2015;13;41;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Brown Tabby;
A700343;;12;4;2015;13;41;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Brown Tabby;
A700344;;12;4;2015;13;41;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Brown Tabby;
A700453;;14;4;2015;10;44;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Blue Tabby;White
A700454;;14;4;2015;10;45;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Blue Tabby;White
A700586;;16;4;2015;15;8;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;White
A700587;;16;4;2015;15;7;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;
A700588;;16;4;2015;15;7;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;
A700589;;16;4;2015;15;7;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Orange Tabby;
A700590;;16;4;2015;15;7;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Calico;
A702329;;12;5;2015;15;5;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;White;
A702330;;12;5;2015;15;6;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;White;
A702331;;12;5;2015;15;6;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Black;
A702332;;12;5;2015;15;6;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Blue;
A702333;;12;5;2015;15;6;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Blue;
A702669;;16;5;2015;17;0;0;Died;In Kennel;Cat;Unknown;;1 day;Domestic Shorthair Mix;Blue Tabby;
A703720;;28;5;2015;13;28;0;Transfer;Partner;Dog;Unknown;;1 day;Anatol Shepherd Mix;Tricolor;
A703721;;28;5;2015;13;27;0;Transfer;Partner;Dog;Unknown;;1 day;Anatol Shepherd Mix;Tricolor;
A703880;;29;5;2015;18;48;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Brown Tabby;
A710925;;30;8;2015;16;26;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Gray Tabby;
A710926;;30;8;2015;16;25;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Gray Tabby;
A710978;;31;8;2015;13;30;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Blue Tabby;
A711692;;11;9;2015;12;40;0;Transfer;Partner;Cat;Intact;Male;1 day;Domestic Shorthair Mix;Gray Tabby;
A711766;;12;9;2015;13;52;0;Transfer;Partner;Cat;Intact;Male;1 day;Domestic Shorthair Mix;Orange;
A711887;;13;9;2015;12;36;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Orange Tabby;
A713001;;1;10;2015;14;19;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;White;Black
A713002;;1;10;2015;14;19;0;Transfer;Partner;Cat;Unknown;;1 day;Domestic Shorthair Mix;Orange Tabby;
A716794;;25;11;2015;14;23;0;Transfer;Partner;Dog;Unknown;;1 day;Labrador Retriever Mix;White;
A662551;Maya;26;10;2013;12;39;0;Adoption;;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Brown Tabby;
A662553;Moose;23;10;2013;18;50;0;Adoption;;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Torbie;
A662554;Red Tex;26;10;2013;12;39;0;Adoption;;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Orange Tabby;
A662739;Trent;5;10;2013;12;42;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Black;White
A662740;Tally;5;10;2013;12;42;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;White;Black
A662741;Todd;5;10;2013;12;42;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Black;
A662762;Lily;8;10;2013;18;15;0;Adoption;;Cat;Spayed;Female;1 month;Snowshoe Mix;Calico Point;White
A663937;;10;10;2013;14;59;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Black;White
A663986;Roberto;2;10;2013;16;38;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Black;White
A664077;Hannah;9;10;2013;18;44;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Silver Tabby;
A664127;Caroline;10;10;2013;13;16;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Calico;
A664158;;2;10;2013;12;6;0;Transfer;Partner;Dog;Intact;Male;1 month;Chihuahua Shorthair Mix;White;Black
A664182;Kermit;14;10;2013;12;26;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Orange Tabby;White
A664211;Arnold;17;10;2013;15;34;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Medium Hair;Blue Tabby;
A664213;Meyer;17;10;2013;15;38;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Medium Hair Mix;Blue;
A664219;;1;10;2013;12;34;0;Died;In Kennel;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Blue;White
A664294;Juliet;12;10;2013;11;11;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Medium Hair Mix;Black;
A664296;Mercutio;12;10;2013;11;11;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Medium Hair Mix;Brown Tabby;
A664298;Benvolio;12;10;2013;11;9;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Medium Hair Mix;Orange Tabby;
A664329;;2;10;2013;9;21;0;Euthanasia;Suffering;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Black;White
A664491;;10;10;2013;18;44;0;Died;In Kennel;Dog;Intact;Male;1 month;Labrador Retriever Mix;Black;
A664553;Spunky;28;11;2013;9;21;0;Adoption;Foster;Dog;Neutered;Male;1 month;Chinese Sharpei Mix;Black;White
A664555;Rex;28;11;2013;9;16;0;Adoption;Foster;Dog;Neutered;Male;1 month;Chinese Sharpei/Border Collie;Black;White
A664638;Minerva;9;10;2013;18;48;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Longhair Mix;Black Smoke;
A665005;;15;10;2013;13;9;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Orange Tabby;
A665009;;12;10;2013;15;4;0;Transfer;Partner;Dog;Intact;Male;1 month;Chihuahua Shorthair Mix;Red;
A665010;;12;10;2013;15;5;0;Transfer;Partner;Dog;Intact;Female;1 month;Chihuahua Shorthair Mix;Tan;Black
A665087;Heidi;9;11;2013;0;9;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Black;
A665189;;15;10;2013;9;52;0;Euthanasia;Suffering;Cat;Intact;Male;1 month;Domestic Longhair Mix;Black;White
A665221;;29;10;2013;11;28;0;Transfer;Partner;Dog;Intact;Male;1 month;Australian Cattle Dog Mix;Brown;Black
A665232;;15;10;2013;16;10;0;Transfer;Partner;Dog;Intact;Male;1 month;Australian Kelpie Mix;Tricolor;
A665233;;15;10;2013;16;10;0;Transfer;Partner;Dog;Intact;Female;1 month;Australian Kelpie Mix;Tricolor;
A665238;;15;10;2013;16;11;0;Transfer;Partner;Dog;Intact;Male;1 month;Australian Kelpie Mix;Sable;White
A665240;;15;10;2013;16;11;0;Transfer;Partner;Dog;Intact;Female;1 month;Australian Kelpie Mix;Sable;White
A665246;Alex;18;10;2013;12;31;0;Transfer;Partner;Cat;Intact;Male;1 month;Domestic Shorthair Mix;Orange Tabby;
A665277;Coco;19;10;2013;17;37;0;Adoption;;Dog;Spayed;Female;1 month;Rat Terrier Mix;Tricolor;
A665354;Eric;18;10;2013;12;31;0;Transfer;Partner;Cat;Intact;Female;1 month;Domestic Shorthair Mix;Torbie;
