AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
A656520,Emily,2013-10-13 12:44:00,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
A686464,Pearce,2015-01-31 12:28:00,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A683430,,2014-07-11 19:09:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
A667013,,2013-11-15 12:52:00,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
A677334,Elsa,2014-04-25 13:04:00,Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
A699218,Jimmy,2015-03-28 13:11:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A701489,,2015-04-30 17:02:00,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A671784,Lucy,2014-02-04 17:17:00,Adoption,,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
A677747,,2014-05-03 07:48:00,Adoption,Offsite,Dog,Spayed Female,1 year,Cairn Terrier,White
A668402,,2013-12-05 15:50:00,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
A666320,,2013-11-04 14:48:00,Adoption,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
A684601,Rocket,2016-02-03 11:27:00,Adoption,Foster,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
A688584,Preston,2015-11-25 15:00:00,Return_to_owner,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
A678825,Oliver,2014-07-12 12:10:00,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A678050,,2014-05-03 16:15:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A680028,,2014-06-07 12:54:00,Transfer,Partner,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
A679010,Chrissy,2014-05-17 11:32:00,Transfer,Partner,Cat,Intact Female,2 years,Angora Mix,White
A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
A670658,Anders,2014-01-19 15:03:00,Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
A708812,Munchkin,2015-09-18 15:19:00,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
A705262,Jamaica,2015-08-15 14:22:00,Adoption,,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
A665781,Quattro,2013-10-28 16:32:00,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
A712750,Olive,2015-10-03 15:44:00,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
A718832,Nia,2016-01-15 17:31:00,Adoption,,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
A698777,Chloe,2015-03-25 18:50:00,Adoption,,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
A715348,Cymbale,2015-11-21 13:01:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
A708666,Jax,2015-07-30 14:30:00,Return_to_owner,,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
A718535,,2016-01-01 13:57:00,Euthanasia,Suffering,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707341,Murphy,2015-07-15 15:25:00,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
A682532,,2014-07-03 17:01:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
A699723,Delgado,2015-04-11 16:01:00,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A668626,,2013-12-06 14:55:00,Euthanasia,Suffering,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
A682413,,2014-07-02 13:37:00,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
A702655,Mica,2015-08-11 00:00:00,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A707503,,2015-07-14 12:16:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A697199,Pilar,2015-04-04 17:26:00,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
A705598,,2015-06-23 13:25:00,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A668388,Lucy,2013-12-09 15:04:00,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A671181,,2014-01-21 15:15:00,Transfer,SCRP,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
A676766,Ali,2014-05-28 15:52:00,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
A686716,Chester,2014-08-27 07:50:00,Return_to_owner,,Dog,Neutered Male,12 years,Beagle,Tricolor
A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
A701804,,2015-05-05 11:46:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A697852,Edith,2015-03-09 17:57:00,Adoption,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
A666092,,2013-10-30 15:37:00,Euthanasia,Aggressive,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
A684050,,2014-07-28 09:00:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
A710107,Caty,2015-10-19 18:58:00,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A682347,,2014-06-26 17:16:00,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
A701627,Gabe,2015-05-14 12:07:00,Adoption,,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
A690902,Beth,2014-11-18 16:05:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
A712979,,2015-10-04 15:02:00,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
A707687,Bashful,2015-08-16 13:52:00,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A683443,,2014-07-18 16:23:00,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
A597644,Lola,2014-09-16 14:05:00,Return_to_owner,,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
