AnimalID;Name;DateTime;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;AgeuponOutcome;Breed;Color;Color2
A685868;Sierra;13/08/2014 19:00;Return_to_owner;;Cat;Spayed Female;9 months;Domestic Shorthair Mix;Agouti;
A677628;Chip;29/05/2014 16:17;Adoption;;Cat;Neutered Male;2 months;Domestic Shorthair Mix;Agouti;Brown Tabby
A667520;;23/11/2013 16:00;Transfer;Partner;Dog;Neutered Male;4 years;Shih Tzu/Miniature Poodle;Apricot;White
A695768;Sparkles;22/01/2015 14:27;Return_to_owner;;Dog;Spayed Female;1 year;Miniature Poodle;Apricot;
A717893;Rasgo;18/12/2015 18:13;Adoption;;Dog;Neutered Male;4 months;Havanese Mix;Apricot;
A672057;Dottie;04/02/2014 12:04;Return_to_owner;;Dog;Spayed Female;2 years;Miniature Poodle Mix;Apricot;
A681103;Sweety Pie;13/06/2014 12:57;Return_to_owner;;Dog;Spayed Female;5 years;Miniature Poodle Mix;Apricot;Brown
A681795;;24/06/2014 11:38;Transfer;Partner;Dog;Intact Female;3 months;Miniature Poodle Mix;Apricot;
A688025;Cody;22/09/2014 13:20;Return_to_owner;;Dog;Neutered Male;5 years;Toy Poodle Mix;Apricot;
A668452;;09/12/2013 17:01;Transfer;Partner;Dog;Neutered Male;7 months;Standard Poodle;Apricot;
A718985;;15/01/2016 19:22;Adoption;;Dog;Neutered Male;3 years;Toy Poodle Mix;Apricot;
A700023;;08/04/2015 23:22;Transfer;Partner;Dog;Spayed Female;1 year;Miniature Poodle Mix;Apricot;
A678926;Bombon;16/05/2014 17:37;Return_to_owner;;Dog;Neutered Male;5 years;Miniature Poodle Mix;Apricot;
A718984;Abel;17/01/2016 18:27;Adoption;;Dog;Neutered Male;6 years;Toy Poodle Mix;Apricot;
A666354;;03/11/2013 17:00;Transfer;Partner;Dog;Neutered Male;3 years;Miniature Poodle Mix;Apricot;
A679105;Diamond;02/11/2014 18:30;Return_to_owner;;Dog;Spayed Female;1 year;Pit Bull Mix;Apricot;White
A664280;Coco;01/10/2013 15:51;Return_to_owner;;Dog;Spayed Female;6 years;Miniature Poodle Mix;Apricot;
A714511;Josilyn;28/10/2015 12:47;Adoption;;Dog;Spayed Female;5 years;Miniature Poodle Mix;Apricot;
A707253;Goowa;29/01/2016 16:57;Transfer;Partner;Dog;Neutered Male;3 years;Pit Bull Mix;Apricot;Brown
A694456;Shaggy;05/01/2015 12:46;Adoption;;Dog;Neutered Male;8 years;Miniature Poodle Mix;Apricot;
A673111;B.G.;07/03/2014 19:24;Adoption;;Dog;Spayed Female;5 years;Toy Poodle;Apricot;
A706278;Toby;07/07/2015 11:03;Transfer;Partner;Dog;Intact Male;13 years;Dachshund/Miniature Poodle;Apricot;
